url_length,hostname_length,path_length,query_length,dot_count,hyphen_count,underscore_count,slash_count,question_count,equal_count,at_count,ampersand_count,percent_count,digit_count,letter_count,has_https,has_ip,subdomain_count,suspicious_word_count,is_shortened,label
73,15,50,0,5,1,2,6,0,0,0,0,0,5,53,1,0,1,0,0,1
31,23,0,0,1,0,0,2,0,0,0,0,0,1,26,1,0,0,0,0,0
38,29,1,0,2,1,0,3,0,0,0,0,0,6,25,1,0,1,0,0,1
15,7,0,0,1,0,0,2,0,0,0,0,0,0,11,1,0,0,0,0,0
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
63,43,12,0,6,1,0,3,0,0,0,0,0,19,33,1,0,1,0,0,1
73,23,42,0,6,0,0,4,0,0,0,0,0,5,57,1,0,2,0,0,1
45,36,1,0,3,2,0,3,0,0,0,0,0,0,36,1,0,2,0,0,1
28,20,0,0,1,0,0,2,0,0,0,0,0,0,24,1,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
14,6,0,0,1,0,0,2,0,0,0,0,0,0,10,1,0,0,0,0,0
34,25,1,0,1,0,0,3,0,0,0,0,0,0,29,1,0,0,0,0,1
54,21,25,0,6,0,0,4,0,0,0,0,0,3,40,1,0,2,0,0,1
35,26,1,0,2,1,0,3,0,0,0,0,0,6,22,1,0,1,0,0,1
21,13,0,0,1,0,0,2,0,0,0,0,0,0,17,1,0,0,0,0,0
14,6,0,0,1,0,0,2,0,0,0,0,0,0,10,1,0,0,0,0,0
23,15,0,0,1,0,0,2,0,0,0,0,0,0,19,1,0,0,0,0,0
35,26,1,0,2,0,0,3,0,0,0,0,0,2,27,1,0,1,0,0,1
20,12,0,0,1,1,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
65,53,4,0,6,3,0,3,0,0,0,0,0,11,41,1,0,2,0,0,1
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
34,25,1,0,2,1,0,3,0,0,0,0,0,6,21,1,0,1,0,0,1
73,11,54,0,4,1,0,4,0,0,0,0,0,4,59,1,0,0,0,0,1
54,21,25,0,6,0,0,4,0,0,0,0,0,4,39,1,0,2,0,0,1
17,9,0,0,2,0,0,2,0,0,0,0,0,0,12,1,0,1,0,0,0
45,37,1,0,2,3,0,3,0,0,0,0,0,3,33,0,0,1,1,0,1
73,19,46,0,4,1,0,4,0,0,0,0,0,6,57,1,0,0,0,0,1
73,11,54,0,4,1,0,4,0,0,0,0,0,9,54,1,0,0,0,0,1
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
45,36,1,0,2,2,0,3,0,0,0,0,0,0,37,1,0,1,0,0,1
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
17,9,0,0,1,0,0,2,0,0,0,0,0,3,10,1,0,0,0,0,0
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
64,24,33,0,6,0,0,6,0,0,0,0,0,1,50,0,0,1,0,0,1
55,21,8,18,5,0,0,3,1,1,1,0,0,5,38,0,0,1,0,0,1
31,23,0,0,2,0,0,2,0,0,0,0,0,3,23,1,0,1,0,0,0
39,22,9,0,2,0,0,4,0,0,0,0,0,0,32,1,0,1,0,0,1
73,16,36,12,6,2,0,4,1,1,0,0,0,8,50,1,0,1,0,0,1
15,7,0,0,1,0,0,2,0,0,0,0,0,0,11,1,0,0,0,0,0
33,24,1,0,2,1,0,3,0,0,0,0,0,6,20,1,0,1,0,0,1
71,63,0,0,2,0,0,2,0,0,0,0,0,8,58,1,0,1,0,0,1
38,29,1,0,2,1,0,3,0,0,0,0,0,6,25,1,0,1,0,0,1
26,18,1,0,2,0,0,3,0,0,0,0,0,0,20,0,0,1,0,0,1
16,8,0,0,2,0,0,2,0,0,0,0,0,0,11,1,0,1,0,0,0
17,9,0,0,1,0,0,2,0,0,0,0,0,0,13,1,0,0,0,0,0
14,6,0,0,1,0,0,2,0,0,0,0,0,2,8,1,0,0,0,0,0
17,9,0,0,1,0,0,2,0,0,0,0,0,0,13,1,0,0,0,0,0
17,9,0,0,2,0,0,2,0,0,0,0,0,0,12,1,0,1,0,0,0
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
14,6,0,0,1,0,0,2,0,0,0,0,0,0,10,1,0,0,0,0,0
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0
